255,on,55-115151626,PT7135 C Vario,Miele,B,6,Seche
256,on,00-096119270,PW 5105 LP OB,Miele,B,1,Lave
257,on,56-114982356,PW 6065 LP,Miele,B,2,Lave
258,on,56-114982355,PW 6065 LP,Miele,B,3,Lave
259,on,65-125593436,PW 6065 LP,Miele,B,3_bis,Lave
260,on,56-114982358,PW 6065 LP,Miele,B,4,Lave
261,on,62-124608263,PW 6065 LP,Miele,B,5,Lave
262,on,40-096064666,PT7135 C Vario,Miele,D,8,Seche
263,on,58-125143026,PT7135C Vario,Miele,D,9,Seche
264,on,58-125600801,PT7135C Vario,Miele,D,12,Seche
265,on,56-114745718,PW 6065 LP,Miele,D,11,Lave
266,on,40-095164906,PW 6065 Plus LP,Miele,D,2,Lave
267,on,62-125029219,PW 6065 Vario LP,Miele,D,3,Lave
268,on,62-125029220,PW 6065 Vario LP,Miele,D,4,Lave
269,on,56-114731840,PW 6065 LP,Miele,D,5,Lave
270,on,65-125133926,PW 6065 Vario LP,Miele,D,6,Lave
271,on,00-120632017,PW5105,Miele,D,1,Lave
272,on,40-095174950,PW 6065 Plus LP,Miele,D,7,Lave
273,on,60-115199738,PW 6065 LP,Miele,E,2,Lave
274,on,60-124558118,PW 6065 LP,Miele,E,3,Lave
275,on,40-095161352,PW 6065 Plus LP,Miele,E,4,Lave
276,on,55-115173417,PT7135 C Vario,Miele,E,1,Seche
277,off,40-095164898,PW 6065 Plus LP,Miele,F,1,Lave
278,off,62-124848143,PW 6065 Vario LP,Miele,F,2,Lave
279,off,60-115199739,PW 6065 LP,Miele,F,4,Lave
280,off,58-124855945,PT7135 C Vario,Miele,F,3,Seche
281,off,60-124558115,PW 6065 LP,Miele,G-J,4,Lave
282,off,56-114864736,PW 6065 LP,Miele,G-J,3,Lave
283,off,56-114839162,PW 6065 LP,Miele,G-J,2,Lave
284,off,58-125143023,PT7135 C Vario,Miele,G-J,1,Seche
285,off,56-115144886,PW 6065 LP,Miele,H,4,Lave
286,off,65-125489107,PW 6065 Vario LP,Miele,H,3,Lave
287,off,65-125316123,PW 6065 Plus LP,Miele,H,2,Lave
288,off,58-124616693,PT7135 C Vario,Miele,H,1,Seche
289,off,65-125204290,PW 6065 LP,Miele,I,2,Lave
290,off,60-115089995,PW 6065 LP,Miele,I,3,Lave
291,off,40-095056811,PW 6065 Plus LP,Miele,I,4,Lave
292,off,58-124855946,PT7135 C Vario,Miele,I,1,Seche
